day,IC,IC_pearson
0,-0.057604278708778565,-0.06524117962637462
1,-0.056171746080696305,-0.0880624183008332
2,0.0369239509177003,0.024801125917638875
3,0.459661941669381,0.4356889421339209
4,-0.4109041579843431,-0.3575685426958723
5,-0.03787179300986422,-0.010037398007529714
6,-0.11021326506445317,-0.117352766916632
7,0.09448500339950983,0.0840433457121771
8,0.03624851327913048,0.00923625009128532
9,0.32980206069345785,0.19959437071313235
10,-0.22001704589113588,-0.27364794718271324
11,0.09698197064755404,0.1030557216638196
12,-0.30434883561764425,-0.31117963315048575
13,-0.6510245528700151,-0.544823851346009
14,-0.07346480732022317,-0.07637909276208703
15,-0.12028973585171022,-0.08437543370456073
16,0.15493400328474324,0.14688974405174618
17,0.10650295349819838,0.04886512228686943
18,-0.08194808899180035,0.01583685764048592
19,-0.30439896246562836,-0.21920157982750993
20,0.10137018744643748,0.10426637742430613
21,0.15361476980191063,0.121922077533947
22,-0.23285303116227637,-0.21339233349837022
23,0.31022218962194253,0.2742387459279425
24,0.05991616539902738,0.029713202755463148
25,0.3888517750196312,0.3622194655705734
26,0.1790297363644604,0.16342802495120973
27,0.027288704046806472,0.029812889766514673
28,0.07011017550227364,0.0751648713680388
29,0.07354395140862059,0.014056849679912033
30,-0.25313644478799197,-0.2665615675396721
31,0.10176672998896097,0.14847149769984883
32,0.12341693389945517,0.12241674497242079
33,-0.0735312475157553,-0.09910117998533734
34,0.03300875463568699,-0.009646618408715212
35,-0.014890585586093593,-0.06171940689203733
36,0.10407255978889542,0.04253020068484521
37,-0.12591107791132639,-0.07952982401030916
38,-0.42628660732482626,-0.22127245785472507
39,-0.016136533031180927,0.008307683884643768
40,0.4890282266865525,0.363147638389165
41,0.09478466784981476,0.07260429624723365
42,-0.039665421223585164,-0.06408478909983706
43,0.33389781802489454,0.1900326447038626
44,0.27289704684035476,0.30777950170892615
45,0.02578614140848571,0.0027334710915896724
46,-0.178131816581226,-0.17271759767815503
47,-0.04825912365419839,-0.0497792545274735
48,0.15990208793438676,0.10379204962228082
49,-0.2587719671653909,-0.15558678865306
50,0.06465409247301983,0.18966036839873443
51,-0.09870060327376859,-0.08676283637950764
52,-0.12455932226674668,-0.10552990759189014
53,0.06614570697237587,0.09149612941844988
54,0.15811582558042303,0.14118424061881016
55,0.11590556650282666,0.08039727345050582
56,0.06402153503700365,0.06569274087868139
57,0.043049200523699406,0.08036777336361312
58,-0.041241010056375406,-0.07875273240392358
59,-0.013798066791254275,0.01242861917548737
60,0.38875602797821457,0.2825088859657204
61,-0.11167848294087858,-0.11300004408404031
62,-0.25889041892999776,-0.24083025200499125
63,0.3620829737696801,0.32434255854684996
64,-0.12491798645723383,-0.07545268169410388
65,0.1505983740863071,0.142040074547216
66,0.12618360237157633,0.13091100253768365
67,0.22805260050224457,0.18830445458069908
68,0.08534074401845682,0.020925962521698403
69,-0.014780981065418076,-0.03414696680704185
70,-0.10800601532224398,-0.20519051867991472
71,0.04597159113823606,0.018944162824614433
72,-0.0504603180666865,-0.006700393315346592
73,0.0010387830394095218,0.007076908193097789
74,0.06605013768162304,0.009802459946972628
75,0.035240614942923194,0.06718567024421132
76,0.21428676862738413,0.0985769316403433
77,0.2639209627168148,0.26657052561215283
78,-0.199935605402646,-0.1093798327662086
79,-0.11253756570032673,-0.03477461069525971
80,0.09221076615447985,0.052980421953520866
81,0.021201233315620394,-0.014713919924860944
82,-0.027855471508792196,-0.0647751434953648
83,-0.018579232948625225,-0.04557551864570482
84,0.0780104415651158,0.08940596111502991
85,-0.04541534920651234,-0.046391228512348295
86,-0.18141856007824902,-0.11723795175995923
87,-0.016343957667821075,0.009794770941400433
88,0.07111865231539276,-0.0015587891779103083
89,-0.23596094609469814,-0.11449347847653242
90,-0.058843322644851974,-0.05183494373594924
91,-0.14655057390027726,-0.04837408854035537
92,-0.19718731962790345,-0.1430942604402165
93,-0.1442851637377255,-0.1482039313013352
94,-0.018044021401785796,-0.005068204682223921
95,0.0073106284872236004,-0.029108537520062743
96,-0.09947493641808186,-0.07729615636549382
97,0.09896253030690426,0.12860833946112546
98,-0.04885525580696474,-0.014073714077562851
99,-0.06845806136459477,-0.0982440527056296
100,-0.09656540707369178,-0.09188853729668518
101,-0.16087782813346715,-0.18583943663451197
102,0.0419298165407946,0.03108475243105102
103,0.08896948780248266,0.07122768156664241
104,0.04950660983084078,0.11139084338384642
105,0.08857896487315658,0.06442052741141165
106,-0.07849820332547118,-0.11069311861956635
107,-0.04667917648935659,-0.0163605970556725
108,0.028543394120634523,0.07963062027746215
109,0.0815093633658654,0.1480663862383821
110,-0.2135791414757881,-0.14934622849520243
111,-0.07282151255052033,-0.07265652786954514
112,0.08911179085042319,0.07692295485090081
113,0.10267636007258472,0.09583296543667924
114,-0.04819925794180492,-0.08838674975723002
115,-0.08737360107680799,-0.10957735599809339
116,-0.13752283188423822,-0.06731471161837532
117,-0.15771634467341009,-0.09586526079918624
118,0.06846116482794555,0.02236092658857883
119,-0.03510461483488029,-0.03065938108889113
120,-0.024114911615550138,-0.022650325580084157
121,-0.10761708593754149,-0.06789724743579074
122,0.12489361986814834,0.015422034436434487
123,0.12743197547768254,0.14407488337991187
124,-0.051190350967296724,-0.03546860606853417
125,-0.04953242190034202,0.044691193384564926
126,-0.029653150599665272,0.03399065642792635
127,-0.11486734143184489,-0.14467024075519133
128,-0.06613335995804426,-0.04170655538324066
129,0.04382359243531627,0.04363463566939425
130,-0.2536116364916535,-0.24631915441540955
131,-0.025579754059606774,-0.08522438031800486
132,-0.06910609826941749,-0.06463085050992295
133,-0.016522349127502393,-0.039178573910542865
134,-0.04173625288726885,-0.04318898296900181
135,0.033492945172912535,0.0022633215884331442
136,-0.034694411832527826,-0.07776816522972944
137,-0.010915679433570842,0.0546037203199646
138,0.11130081139231442,0.08142663274515867
139,0.19050084705864662,0.10246892538620045
140,0.09175489319884086,0.11237550280790375
141,-0.06381798002219755,-0.08202691721158534
142,0.07738617884077628,0.0900860015777493
143,-0.23484753497198982,-0.14922392197932485
144,0.04862184212262665,0.01259921427574449
145,0.00966262147381652,0.028762593890997442
146,-0.0292071056294132,-0.07025822302634935
147,0.01798343923455573,-0.004146654026889246
148,0.044413974457269856,0.04937246587241613
149,-0.07250937005417149,-0.0849451533856849
150,0.006003269706082479,0.01543825137493108
151,-0.08435227169918219,-0.05873068686399319
152,0.20235338812992304,0.1716703792928191
153,-0.04339487206011421,-0.013137396915725446
154,-0.14651178190663655,-0.14679649335202374
155,0.004327871368330007,-0.020720136370352537
156,-0.17370944396293728,-0.12431846297394401
157,-0.0497586482971165,-0.062124770122673416
158,0.1012255817531548,0.06314764023227404
159,-0.1983347850863721,-0.21575922042463394
160,-0.1524273244467914,-0.1719630486595082
161,0.03689492976115121,0.08501466802972896
162,0.02867566147296383,0.013185367571169674
163,-0.039170706902404456,-0.007239962144210082
164,0.023045309897406312,0.004580807399435584
165,0.17981049255970055,0.13603783810067954
166,0.09734667702901943,0.1452632619890892
167,-0.15473619778692244,-0.12394388692258568
168,-0.11209104595639525,-0.024002898330595344
169,-0.014674923820970987,-0.027367138470585795
170,-0.0656013335796721,0.008512120219703653
171,-0.06271419026281636,-0.11396203260815642
172,-0.09596662538071199,-0.09496742841111784
173,0.005660289530227957,0.07660427131073856
174,0.33326136301536313,0.3473555743626542
175,0.18955002303816157,0.1508641026507169
176,-0.17311674975364147,-0.1924837459678794
177,-0.10787631052710885,-0.18697461424588172
178,0.1297608667751874,0.11605815692121961
179,-0.02474459429307366,-0.09183814676845091
180,0.06450759035752927,0.001429015769349036
181,0.03538186412166508,0.07992877750185849
182,-0.019763412345059156,-0.02194876503777081
183,0.006918516439467958,0.019430025643591427
184,-0.11820340300869155,-0.10421929568687363
185,0.12197701143833432,0.1822080900381022
186,-0.09002925096107377,-0.010834625275208466
187,0.008527990869768817,-0.04284029745698624
188,0.044335301898031754,0.0032892694088527095
189,0.03105070874959283,0.04821714492769591
190,-0.06625599635922892,-0.10060506839484722
191,0.19026622253859307,0.18839806670755457
192,0.13718801233415168,0.15481623141077228
193,-0.036589041553307194,-0.02933993977753966
