date,portfolio_return,spy_return
2025-04-03,-0.001,0.0
2025-04-04,-0.08427822805999856,-0.05854301799073482
2025-04-07,0.02856884056708843,-0.0017812158581762998
2025-04-08,-0.02610186473598944,-0.0156627178112049
2025-04-09,0.16280102267858448,0.10501933848666693
2025-04-10,-0.07688197458821473,-0.043819163915287944
2025-04-11,0.01897172932721206,0.017842818186459386
2025-04-14,0.008668533928381014,0.009701535131844227
2025-04-15,-0.00978836755354971,-0.002800832552786546
2025-04-16,-0.007751530460236131,-0.022228072883718523
2025-04-17,0.005476036494208436,0.0014267883196375944
2025-04-21,-0.03629502630217749,-0.023802667972205222
2025-04-22,0.02217509454526158,0.026017703599874945
2025-04-23,0.008106981197139177,0.01549542421352557
2025-04-24,0.04091976621279603,0.021049069381725054
2025-04-25,-0.00989360076397174,0.007225293730972622
2025-04-28,0.0011021077024185512,0.0003813816436128861
2025-04-29,0.0012390357766258945,0.006299283530683538
2025-04-30,-0.0018291278741076693,0.00039684262985045153
2025-05-01,-0.010929858593878369,0.00708693168154782
2025-05-02,0.016137926521358047,0.014844159530811186
2025-05-05,-0.00039258690995266584,-0.005734428055191467
2025-05-06,-0.0053983624315366305,-0.008358173536795204
2025-05-07,0.005160173721967921,0.004205441490927617
2025-05-08,-0.00019575920316652613,0.006967903691105146
2025-05-09,-0.0051732189991529984,-0.0012743496278879475
2025-05-12,0.03502668992517297,0.03304750794730142
2025-05-13,0.030423275766160114,0.0066039069860177844
2025-05-14,-0.03420479183566862,0.0012780408102287747
2025-05-15,0.00245313531939774,0.004884346213138594
2025-05-16,0.007537314967300493,0.006333926797924004
2025-05-19,-0.0026063811796339146,0.0010939435130175445
2025-05-20,-0.008680848042519155,-0.003362182449190266
2025-05-21,-0.0288153265450165,-0.01685080078767158
2025-05-22,-0.002009821807778081,0.00039473415969420935
2025-05-23,0.0027887358686549835,-0.006825879106329008
2025-05-27,0.015701513205123533,0.02079070861720132
2025-05-28,-0.0060778257782978665,-0.005785383818817817
2025-05-29,-0.007250037421356957,0.003947316182205065
2025-05-30,-0.009221537299452373,-0.001118436463595514
2025-06-02,0.008943421596090777,0.0056329150682802274
2025-06-03,0.011701290743627309,0.005702535576316118
2025-06-04,0.0004913393994372183,-0.00026833243476051484
2025-06-05,-0.010501928309915943,-0.004832829894181698
2025-06-06,0.01797093466960291,0.010268936573274852
2025-06-09,0.006156265337453154,0.000901294345408136
2025-06-10,0.006008994553456258,0.005669725186957199
2025-06-11,-0.014238487688201008,-0.002852007583847206
2025-06-12,-0.003878870971707947,0.00397425411453907
2025-06-13,-0.010594760759174942,-0.011180206309365337
2025-06-16,-0.009004931707548132,0.00951437587657784
2025-06-17,-0.006435870730032958,-0.008545152297069616
2025-06-18,-0.00435436501279907,-0.00015063763406182736
2025-06-20,-0.006130746141107929,-0.0023485286607059313
2025-06-23,0.012584258977958292,0.00987743408381518
2025-06-24,0.009341018345082233,0.011047192108078904
2025-06-25,-0.016096888396213982,0.0005603559165501661
2025-06-26,0.00837933328286014,0.007823805236792956
2025-06-27,-0.003525170780677625,0.004968343775720556
2025-06-30,-0.003996957864501426,0.004781161580480674
2025-07-01,0.020453968815004168,-0.00032359260317184335
2025-07-02,0.015672126842597955,0.004533353051341958
2025-07-03,-0.00586364997351056,0.00788138925204121
2025-07-07,-0.02298055076571405,-0.0074521384454895746
2025-07-08,0.029073632681122417,-0.0005476091081725294
2025-07-09,-0.0023822471082510332,0.0059966217051977645
2025-07-10,0.0021732828401768893,0.002820202846859572
2025-07-11,-0.008389548497052412,-0.0035152660221064113
2025-07-14,0.0018788368563527212,0.001908137149240146
2025-07-15,-0.012424479816303208,-0.004273317857587772
2025-07-16,0.01017856326400601,0.0033432619517372057
2025-07-17,-0.002861454897758068,0.006119641699551259
2025-07-18,-0.004550453138429151,-0.0007323729567986945
2025-07-21,0.004013014068115157,0.0018961948262422956
2025-07-22,0.019745826947214627,0.00014312186670746194
2025-07-23,0.0009748845838430348,0.008507406668075555
