,rank_ic
2025-04-03,-0.057604278708778565
2025-04-04,-0.056171746080696305
2025-04-07,0.0369239509177003
2025-04-08,0.459661941669381
2025-04-09,-0.4109041579843431
2025-04-10,-0.03787179300986422
2025-04-11,-0.11021326506445317
2025-04-14,0.09448500339950983
2025-04-15,0.03624851327913048
2025-04-16,0.32980206069345785
2025-04-17,-0.22001704589113588
2025-04-21,0.09698197064755404
2025-04-22,-0.30434883561764425
2025-04-23,-0.6510245528700151
2025-04-24,-0.07346480732022317
2025-04-25,-0.12028973585171022
2025-04-28,0.15493400328474324
2025-04-29,0.10650295349819838
2025-04-30,-0.08194808899180035
2025-05-01,-0.30439896246562836
2025-05-02,0.10137018744643748
2025-05-05,0.15361476980191063
2025-05-06,-0.23285303116227637
2025-05-07,0.31022218962194253
2025-05-08,0.05991616539902738
2025-05-09,0.3888517750196312
2025-05-12,0.1790297363644604
2025-05-13,0.027288704046806472
2025-05-14,0.07011017550227364
2025-05-15,0.07354395140862059
2025-05-16,-0.25313644478799197
2025-05-19,0.10176672998896097
2025-05-20,0.12341693389945517
2025-05-21,-0.0735312475157553
2025-05-22,0.03300875463568699
2025-05-23,-0.014890585586093593
2025-05-27,0.10407255978889542
2025-05-28,-0.12591107791132639
2025-05-29,-0.42628660732482626
2025-05-30,-0.016136533031180927
2025-06-02,0.4890282266865525
2025-06-03,0.09478466784981476
2025-06-04,-0.039665421223585164
2025-06-05,0.33389781802489454
2025-06-06,0.27289704684035476
2025-06-09,0.02578614140848571
2025-06-10,-0.178131816581226
2025-06-11,-0.04825912365419839
2025-06-12,0.15990208793438676
2025-06-13,-0.2587719671653909
2025-06-16,0.06465409247301983
2025-06-17,-0.09870060327376859
2025-06-18,-0.12455932226674668
2025-06-20,0.06614570697237587
2025-06-23,0.15811582558042303
2025-06-24,0.11590556650282666
2025-06-25,0.06402153503700365
2025-06-26,0.043049200523699406
2025-06-27,-0.041241010056375406
2025-06-30,-0.013798066791254275
2025-07-01,0.38875602797821457
2025-07-02,-0.11167848294087858
2025-07-03,-0.25889041892999776
2025-07-07,0.3620829737696801
2025-07-08,-0.12491798645723383
2025-07-09,0.1505983740863071
2025-07-10,0.12618360237157633
2025-07-11,0.22805260050224457
2025-07-14,0.08534074401845682
2025-07-15,-0.014780981065418076
2025-07-16,-0.10800601532224398
2025-07-17,0.04597159113823606
2025-07-18,-0.0504603180666865
2025-07-21,0.0010387830394095218
2025-07-22,0.06605013768162304
2025-07-23,0.035240614942923194
2025-07-24,0.21428676862738413
2025-07-25,0.2639209627168148
2025-07-28,-0.199935605402646
2025-07-29,-0.11253756570032673
2025-07-30,0.09221076615447985
2025-07-31,0.021201233315620394
2025-08-01,-0.027855471508792196
2025-08-04,-0.018579232948625225
2025-08-05,0.0780104415651158
2025-08-06,-0.04541534920651234
2025-08-07,-0.18141856007824902
2025-08-08,-0.016343957667821075
2025-08-11,0.07111865231539276
2025-08-12,-0.23596094609469814
2025-08-13,-0.058843322644851974
2025-08-14,-0.14655057390027726
2025-08-15,-0.19718731962790345
2025-08-18,-0.1442851637377255
2025-08-19,-0.018044021401785796
2025-08-20,0.0073106284872236004
