,rank_ic
2025-03-14,-0.11507138578175408
2025-03-17,0.2564430524716399
2025-03-18,-0.3397732346273947
2025-03-19,0.19730271653616419
2025-03-20,-0.1878895712386162
2025-03-21,-0.21308948304987105
2025-03-24,0.22403927848977656
2025-03-25,-0.4015866345397655
2025-03-26,0.08375068012923638
2025-03-27,0.2164456530223994
2025-03-28,0.31333923082683235
2025-03-31,-0.10024349204432699
2025-04-01,-0.3609462731962604
2025-04-02,0.22159766251175606
2025-04-03,0.12143466370522314
2025-04-04,-0.506839161021636
2025-04-07,0.29177958386322866
2025-04-08,-0.7368839696611256
2025-04-09,0.3659522228406638
2025-04-10,0.09156708645789417
2025-04-11,-0.21094889364919409
2025-04-14,-0.04677176913001873
2025-04-15,0.14920107144460373
2025-04-16,-0.1514008145296486
2025-04-17,0.06225057323790018
2025-04-21,-0.3100377278881869
2025-04-22,-0.3699021410095576
2025-04-23,0.03161858411952449
2025-04-24,0.2500833196252499
2025-04-25,-0.12632407506304014
2025-04-28,-0.10502509995866981
2025-04-29,-0.11559890716052884
2025-04-30,0.2127551265236496
2025-05-01,0.19994807743891743
2025-05-02,0.16767030762241295
2025-05-05,-0.10378768514792751
2025-05-06,0.1640237866389402
2025-05-07,0.08691992865844335
2025-05-08,0.09697136419578625
2025-05-09,0.3286795416042788
2025-05-12,0.5933538732990518
2025-05-13,0.17872187559879396
2025-05-14,-0.6487999320672454
2025-05-15,-0.36080154016291915
2025-05-16,-0.24951878196027075
2025-05-19,-0.07031571596365771
2025-05-20,0.007692411455779911
2025-05-21,0.05834054972550791
2025-05-22,-0.06781578147498829
2025-05-23,0.060302813791499064
2025-05-27,0.04903132801237649
2025-05-28,-0.21645251731134071
2025-05-29,-0.09110087801484433
2025-05-30,0.1713603780484431
2025-06-02,-0.19633749133979
2025-06-03,-0.012909436141489957
2025-06-04,0.05649436847234585
2025-06-05,-0.029525538801610483
2025-06-06,0.01768087236104062
2025-06-09,0.1398771239766136
2025-06-10,-0.05220954082061809
2025-06-11,-0.151298871170794
2025-06-12,0.08937425131890601
2025-06-13,-0.10287201641531324
2025-06-16,-0.051019665780577636
2025-06-17,0.05638563922843666
2025-06-18,-0.0322578897479137
2025-06-20,-0.15363047040641986
2025-06-23,-0.11656229265111101
2025-06-24,0.2511957336814886
2025-06-25,0.1516415202695904
2025-06-26,-0.05494938045051204
2025-06-27,-0.13784931737337403
2025-06-30,-0.2454160317320265
2025-07-01,0.3937050969275991
2025-07-02,-0.11913455813927458
2025-07-03,-0.22468941619762267
2025-07-07,-0.07720849664749252
2025-07-08,0.13480007934333438
2025-07-09,0.3812071287818829
2025-07-10,-0.028786671380902174
2025-07-11,-0.2376097356128841
2025-07-14,0.009742445963938586
2025-07-15,-0.07323165514971122
2025-07-16,0.13741323481314843
2025-07-17,-0.02485964060376454
2025-07-18,0.026966782607888026
2025-07-21,-0.1825014998499597
2025-07-22,-0.04965636684925805
2025-07-23,0.0699777029308605
2025-07-24,-0.002420547319892415
2025-07-25,0.01940528323115778
2025-07-28,-0.17653772230869333
2025-07-29,0.1299584367958483
2025-07-30,-0.007457566006599065
2025-07-31,-0.014577458045663988
2025-08-01,0.23283797465408296
2025-08-04,-0.18342944379143508
2025-08-05,0.021077618700436673
2025-08-06,-0.09079531675047796
2025-08-07,0.09679402974414293
2025-08-08,0.11961920359333066
2025-08-11,-0.14338505199069984
2025-08-12,-0.21673976292972383
2025-08-13,-0.09121984879267467
2025-08-14,-0.22266542031140218
2025-08-15,-0.07299830013318975
2025-08-18,-0.04791581114959601
2025-08-19,-0.17313868043352695
2025-08-20,-0.053254016535168563
2025-08-21,-0.16830605298091444
2025-08-22,0.09179115938691178
2025-08-25,-0.10626904406620671
2025-08-26,0.0006285770011801989
2025-08-27,0.13287631674653846
2025-08-28,-0.08599746285970868
2025-08-29,0.0831221514494132
2025-09-02,-0.05934949964828434
2025-09-03,-0.01513676484234396
2025-09-04,-0.15429149476163717
2025-09-05,0.03979484394316537
2025-09-08,-0.16656673194212057
2025-09-09,-0.05592765250096249
2025-09-10,-0.09035366941401524
2025-09-11,0.06708967817658266
2025-09-12,0.2132089572722699
2025-09-15,-0.1183421455279634
2025-09-16,-0.17144783231047214
2025-09-17,0.09029915207613823
2025-09-18,0.08121430686626964
2025-09-19,0.1743673755148686
2025-09-22,-0.10362952673619738
2025-09-23,-0.13276100571004573
2025-09-24,0.13432298000118967
2025-09-25,0.0654312723747429
2025-09-26,-0.05065236009932511
2025-09-29,-0.03194188388231269
2025-09-30,0.21562081847027903
2025-10-01,-0.07821390763210744
2025-10-02,0.013933567812279155
2025-10-03,0.18558379379224646
2025-10-06,-0.0706491801741617
2025-10-07,0.13027161962875206
2025-10-08,-0.03939768060062108
2025-10-09,-0.08259966179572009
2025-10-10,-0.34995312484624397
2025-10-13,-0.32323375391050074
2025-10-14,0.10491509676272368
2025-10-15,0.11408346396899327
2025-10-16,-0.25676303520539817
2025-10-17,-0.05482873593904305
2025-10-20,-0.21653306272272646
2025-10-21,-0.2421236659772683
2025-10-22,-0.1029647826605182
2025-10-23,0.00722128356432946
2025-10-24,0.09231291790419491
2025-10-27,0.10455894681232404
2025-10-28,0.24829565520058183
2025-10-29,-0.12659690420013564
2025-10-30,-0.03587135695438408
2025-10-31,0.1821028532780444
2025-11-03,-0.22547350036564712
2025-11-04,0.05803120816051184
2025-11-05,0.14638259187783426
2025-11-06,-0.09535750828317432
2025-11-07,0.17250674331289007
2025-11-10,-0.10676267033220486
2025-11-11,-0.08963674136054198
2025-11-12,0.008791122281145255
2025-11-13,0.04268710902039338
2025-11-14,0.19348130820971315
2025-11-17,0.155143086681266
2025-11-18,-0.16701688053125746
2025-11-19,0.21835261301173187
2025-11-20,-0.19259267613258294
2025-11-21,-0.24205682784046675
2025-11-24,0.11887635306800733
2025-11-25,-0.19204514520736848
2025-11-26,-0.2901345585996299
2025-11-28,0.03741277042908424
2025-12-01,0.019079550980414268
2025-12-02,0.16978611133408913
2025-12-03,-0.012544672435219876
2025-12-04,0.2978560493432393
2025-12-05,0.032614687937225884
2025-12-08,0.10638651924020574
2025-12-09,0.3120026253179095
2025-12-10,0.009779708338027911
2025-12-11,-0.30451100468607745
2025-12-12,-0.12249553873293573
2025-12-15,-0.024266555796811074
2025-12-16,-0.13185234985668087
2025-12-17,-0.07014831654676937
2025-12-18,0.023248835335823757
2025-12-19,0.1639259161468329
2025-12-22,-0.05960811734498804
2025-12-23,-0.10126928607112304
2025-12-24,-0.07061646525638438
2025-12-26,-0.15976965653142955
2025-12-29,-0.11958377472859308
2025-12-30,0.1459263385684438
2025-12-31,-0.08805263638572977
2026-01-02,0.04456113507188598
2026-01-05,0.1136516973569249
2026-01-06,-0.07957497359092051
2026-01-07,-0.2616166226496914
2026-01-08,0.1301382197742425
2026-01-09,0.009116854288885362
2026-01-12,0.1513624475605352
2026-01-13,0.07692201377274678
2026-01-14,0.17767091047360756
