,rank_ic
2025-03-14,0.09787617442086953
2025-03-17,-0.21997130187105227
2025-03-18,0.1171820721062463
2025-03-19,-0.08811218162331418
2025-03-20,0.15591715454544058
2025-03-21,-0.05774738990374663
2025-03-24,-0.16718819620330036
2025-03-25,0.2010745534103425
2025-03-26,0.04105839381460475
2025-03-27,0.10656204026921857
2025-03-28,-0.12948171675441378
2025-03-31,-0.005273126946574848
2025-04-01,0.06837384385765467
2025-04-02,-0.12243163457799065
2025-04-03,-0.1569813411985366
2025-04-04,0.401695170150349
2025-04-07,-0.1322132129295979
2025-04-08,0.40815230341926456
2025-04-09,0.015771478338776495
2025-04-10,-0.015462485700213106
2025-04-11,0.1495971197339382
2025-04-14,0.053645618196071686
2025-04-15,0.09489420097769606
2025-04-16,0.16171455352564965
2025-04-17,0.04200342158488566
2025-04-21,0.21034387679599184
2025-04-22,0.12262448606263689
2025-04-23,-0.05341807672650926
2025-04-24,-0.10342905293472494
2025-04-25,0.11352861231563935
2025-04-28,-0.10703250590303527
2025-04-29,-0.11416015346562582
2025-04-30,-0.14340615723080463
2025-05-01,0.029874683341726497
2025-05-02,-0.11283924174572867
2025-05-05,0.07298160982924706
2025-05-06,-0.05346912775535256
2025-05-07,0.04332657213505381
2025-05-08,0.014389015973072012
2025-05-09,-0.02999205041894649
2025-05-12,-0.13220849980076418
2025-05-13,-0.12856600177325078
2025-05-14,0.1992698138379568
2025-05-15,0.18555630267853276
2025-05-16,0.026928703333080187
2025-05-19,0.14043580479047774
2025-05-20,-0.14769430758920443
2025-05-21,-0.044940304771820386
2025-05-22,0.04218005122374716
2025-05-23,0.0971890431900364
2025-05-27,0.06379007367278962
2025-05-28,-0.046649074229228295
2025-05-29,-0.034947337028945286
2025-05-30,-0.040178842363571575
2025-06-02,0.2555088927758424
2025-06-03,0.12771484112600343
2025-06-04,-0.015888268092643782
2025-06-05,0.09315475532085381
2025-06-06,0.0020093725364402496
2025-06-09,-0.12449995032021208
2025-06-10,0.03575239954862724
2025-06-11,0.024339831989179106
2025-06-12,-0.07480008852258324
2025-06-13,0.1247102402382754
2025-06-16,-0.07429152086197975
2025-06-17,-0.10992063849723009
2025-06-18,0.07678010772431838
2025-06-20,0.04999285738541849
2025-06-23,0.16274466269912063
2025-06-24,-0.03822407954220029
2025-06-25,-0.019224677909523116
2025-06-26,0.057155297343142
2025-06-27,0.023788138713963167
2025-06-30,0.0811745017169271
2025-07-01,0.1267838450491652
2025-07-02,0.007747095735244883
2025-07-03,0.06555904916987834
2025-07-07,0.0845931113557697
2025-07-08,-0.008082698264312769
2025-07-09,-0.10435388343053194
2025-07-10,0.08456151388653467
2025-07-11,0.16034569696210216
2025-07-14,0.11260683334104961
2025-07-15,-0.006803980454109962
2025-07-16,-0.059299268197865865
2025-07-17,-0.009004530585921098
2025-07-18,-0.007547862361424656
2025-07-21,0.05050676572755659
2025-07-22,0.16417014171171798
2025-07-23,-0.06450518868325121
2025-07-24,0.07427993075444687
2025-07-25,0.12847380383287477
2025-07-28,-0.006627747334098593
2025-07-29,-0.13699018252205644
2025-07-30,0.043018619011966075
2025-07-31,-0.006874607644893334
2025-08-01,-0.1467000113595144
2025-08-04,0.08359741645854328
2025-08-05,-0.07466096894617454
2025-08-06,0.05713477106106851
2025-08-07,-0.11539337375881019
2025-08-08,-0.08127230506917588
2025-08-11,0.1792631925647967
2025-08-12,0.11653015992434296
2025-08-13,-0.004525608414283384
2025-08-14,0.04024138591339829
2025-08-15,0.06256244178599396
2025-08-18,-0.20718703400694571
2025-08-19,0.06261388577937946
2025-08-20,0.015447922749042923
2025-08-21,0.14034076089605774
2025-08-22,0.1544961351122889
2025-08-25,0.09292514428582577
2025-08-26,0.040177138867488034
2025-08-27,-0.0548894582512831
2025-08-28,-0.10408893016116771
2025-08-29,0.09058579043937216
2025-09-02,0.07279734623016913
2025-09-03,-0.012089806929536559
2025-09-04,0.14585672505711528
2025-09-05,-0.08800721675817343
2025-09-08,0.0028288853686884666
2025-09-09,0.16160687220454495
2025-09-10,0.030663332663850962
2025-09-11,-0.059012956296095403
2025-09-12,-0.11723873514327836
2025-09-15,0.04500956977006469
2025-09-16,0.10607436976004533
2025-09-17,-0.10054295013347385
2025-09-18,-0.01731537168527533
2025-09-19,-0.08311908862738773
2025-09-22,-0.006004860129883982
2025-09-23,0.14450855414163077
2025-09-24,-0.02707432934292225
