,rank_ic
2025-03-14,0.22509314770354338
2025-03-17,-0.2920614207631422
2025-03-18,0.13525296437356024
2025-03-19,-0.22810102917293534
2025-03-20,0.1898865332822953
2025-03-21,0.07203271298256414
2025-03-24,-0.07228663355294926
2025-03-25,-0.3697457533112728
2025-03-26,-0.297314743078937
2025-03-27,-0.29362761130346193
2025-03-28,-0.4386283410119334
2025-03-31,0.17421589303598597
2025-04-01,0.6288309750362606
2025-04-02,-0.6521405120033329
2025-04-03,-0.12141232904308796
2025-04-04,0.548084426791953
2025-04-07,-0.3485343928366325
2025-04-08,0.8728980816294307
2025-04-09,-0.5291048289529753
2025-04-10,-0.04323791687143564
2025-04-11,0.15888016215406978
2025-04-14,0.06474177439663173
2025-04-15,-0.20065305667542138
2025-04-16,0.1265589207183623
2025-04-17,-0.16914006464668443
2025-04-21,0.2570818016951787
2025-04-22,0.6637051125810708
2025-04-23,0.6832624263094358
2025-04-24,0.2757853197744609
2025-04-25,0.014065198195801569
2025-04-28,-0.18798167407801517
2025-04-29,-0.24485507360750225
2025-04-30,0.15364555864186677
2025-05-01,0.48797013081699075
2025-05-02,-0.25044633394724325
2025-05-05,-0.2823770306126683
2025-05-06,0.20059724219964722
2025-05-07,0.5578738241373632
2025-05-08,-0.00330973193205797
2025-05-09,0.720148784231463
2025-05-12,0.43548833067772913
2025-05-13,0.012204014556451877
2025-05-14,-0.41401387269994433
2025-05-15,0.18329227957070565
2025-05-16,-0.03417391649511195
2025-05-19,-0.0019208917236467936
2025-05-20,-0.447446539995962
2025-05-21,0.2371517998672489
2025-05-22,-0.43666657563264033
2025-05-23,0.4837590518958036
2025-05-27,-0.03996776732323939
2025-05-28,-0.0032384172322854217
2025-05-29,-0.41592974488093276
2025-05-30,-0.036241030926016965
2025-06-02,0.32682930281135897
2025-06-03,0.1494259825345143
2025-06-04,-0.11010905811271936
2025-06-05,0.14307064895903887
2025-06-06,0.29761040096583224
2025-06-09,0.3205652040558861
2025-06-10,-0.08973343275943847
2025-06-11,0.017230528431472058
2025-06-12,0.006911251119220877
2025-06-13,0.07879149133404051
2025-06-16,-0.22455114516004548
2025-06-17,0.05045595064392313
2025-06-18,0.07607640091696007
2025-06-20,-0.1348062195733411
2025-06-23,0.2428684697227652
2025-06-24,0.08014583428697918
