,rank_ic
2025-03-14,0.13487714498446413
2025-03-17,-0.2538807581136188
2025-03-18,0.06049542261050625
2025-03-19,-0.17532953402311668
2025-03-20,0.07388660050741697
2025-03-21,0.0009504393847220737
2025-03-24,-0.23059638165748136
2025-03-25,0.11171389208559894
2025-03-26,-0.055535143539471934
2025-03-27,-0.10868621546668718
2025-03-28,-0.36270790205620157
2025-03-31,0.08355574012979311
2025-04-01,0.47152496429218244
2025-04-02,-0.4831316911386011
2025-04-03,-0.16031101790996652
2025-04-04,0.42348155809256677
2025-04-07,-0.224833645465765
2025-04-08,0.5731450233839489
2025-04-09,-0.22805967733268404
2025-04-10,-0.03458179767554209
2025-04-11,0.15567513813767392
2025-04-14,0.03999120876715123
2025-04-15,-0.08848738832392511
2025-04-16,0.12320153450185631
2025-04-17,-0.08582392458048979
2025-04-21,0.2586915558834254
2025-04-22,0.42212235016371746
2025-04-23,0.2380984445566337
2025-04-24,-0.06098275114450636
2025-04-25,0.07790927217970159
2025-04-28,-0.03662829306349523
2025-04-29,-0.08501357673840454
2025-04-30,-0.010707701411661212
2025-05-01,0.12484468011567142
2025-05-02,-0.24024901160816692
2025-05-05,-0.15064840594222553
2025-05-06,0.08687432671213775
2025-05-07,0.33474916114406666
2025-05-08,0.045198174262793246
2025-05-09,0.2146960307767221
2025-05-12,-0.14809479107291273
2025-05-13,-0.1966160329500444
2025-05-14,0.20204068048629412
2025-05-15,0.14015542271222847
2025-05-16,-0.049898073215021085
2025-05-19,0.04040141805218087
2025-05-20,-0.3170250495398285
2025-05-21,0.05539988837080994
2025-05-22,-0.1375116552120436
2025-05-23,0.34505947322483105
2025-05-27,-0.03453801193643953
2025-05-28,0.15385362141822448
2025-05-29,-0.14678710762551553
2025-05-30,-0.11087927227476965
2025-06-02,0.37581065425301713
2025-06-03,0.045713308928105545
2025-06-04,-0.04486602533198556
2025-06-05,0.10625328524083509
2025-06-06,0.11170406082901255
2025-06-09,-0.05913853660197795
2025-06-10,0.10619844662973396
2025-06-11,0.04705515268395192
2025-06-12,0.017454206755726683
2025-06-13,0.17914809406828963
2025-06-16,-0.13108224263890444
2025-06-17,-0.005961863774998126
2025-06-18,0.05160667505727711
2025-06-20,-0.07215381617300519
2025-06-23,0.12733390334640798
2025-06-24,-0.14795795953180355
2025-06-25,-0.04043900658076445
2025-06-26,-0.09191757885938222
2025-06-27,-0.013690816564392066
2025-06-30,0.1873879258816497
2025-07-01,-0.035351458999405456
2025-07-02,-0.010866590105930319
2025-07-03,0.019171986052666522
2025-07-07,0.09552402578094546
2025-07-08,-0.04647975871488565
2025-07-09,-0.203232489016764
2025-07-10,0.004356199061662218
2025-07-11,0.06407626601599824
2025-07-14,0.058069237010348454
2025-07-15,0.044950941277500156
2025-07-16,0.0020542360782633095
2025-07-17,-0.06127105625899763
2025-07-18,-0.04561832627580122
2025-07-21,0.14763664998643333
2025-07-22,0.17895117311154346
2025-07-23,0.02491984399349066
2025-07-24,0.004727154661110011
2025-07-25,0.07920866301837699
2025-07-28,0.08526313496649905
2025-07-29,-0.044218596531255504
2025-07-30,-0.03258201610190976
2025-07-31,-0.02574666876302901
2025-08-01,-0.25205993727884923
2025-08-04,0.1573778840566194
2025-08-05,-0.10439961885125092
2025-08-06,0.07887556634156916
2025-08-07,-0.05313771407213118
2025-08-08,-0.09273382803740765
2025-08-11,0.13865623999103743
2025-08-12,0.11861419392103567
2025-08-13,0.014408842801594863
2025-08-14,0.1582723762430947
2025-08-15,0.07779383956945847
2025-08-18,-0.025209199492538782
2025-08-19,0.03333012502825822
2025-08-20,0.0604955331781406
2025-08-21,0.17413584206872926
2025-08-22,0.11747989354989329
2025-08-25,-0.06010755301075539
2025-08-26,0.011846437477651515
2025-08-27,-0.11522242435522002
2025-08-28,0.11920888523745413
2025-08-29,-0.03132580188971702
2025-09-02,0.059788784859487326
