,rank_ic
2025-03-14,-0.0026786115093388736
2025-03-17,0.04123365616871205
2025-03-18,0.022896677420474777
2025-03-19,-0.09552870411819826
2025-03-20,0.050419394093786554
2025-03-21,-0.1065041632031355
2025-03-24,-0.2542109753804294
2025-03-25,0.5375841098383333
2025-03-26,-0.2544659101702016
2025-03-27,-0.3214924242373984
2025-03-28,-0.3966046226504827
2025-03-31,0.23556954162418103
2025-04-01,0.37056820043877653
2025-04-02,0.1502022613734844
2025-04-03,-0.19882714276205465
2025-04-04,0.49052103670867564
2025-04-07,-0.14893040187575776
2025-04-08,0.4398486638675364
2025-04-09,0.48992949986499684
2025-04-10,-0.05223845425779526
2025-04-11,0.3495756082491415
2025-04-14,0.02135984317749719
2025-04-15,-0.062157696425060895
2025-04-16,-0.03604372198077936
2025-04-17,-0.2267025701888871
2025-04-21,0.3076217145103877
2025-04-22,0.1895197804392144
2025-04-23,-0.4844201357814777
2025-04-24,-0.27369481745435104
2025-04-25,0.09195390479551731
2025-04-28,0.0824941802725669
2025-04-29,0.029176588154153738
2025-04-30,0.02526459387733936
2025-05-01,-0.02301034094856858
2025-05-02,-0.13855707231024658
2025-05-05,0.0660597406343061
2025-05-06,-0.06442787821681402
2025-05-07,0.038035322545562245
2025-05-08,-0.07680061900191294
2025-05-09,-0.3280927591688763
2025-05-12,-0.5255211805992165
2025-05-13,-0.1379111361190565
2025-05-14,0.6499585703074154
2025-05-15,0.21095995041262733
2025-05-16,-0.24648557971225357
2025-05-19,-0.18200993627212664
2025-05-20,-0.34507207793514494
2025-05-21,0.2772690061638239
2025-05-22,-0.18255558760788884
2025-05-23,0.2795278054381143
2025-05-27,-0.03670049372871434
2025-05-28,0.1402680581095372
2025-05-29,0.12182320173969333
2025-05-30,-0.14973207664736593
2025-06-02,0.27704965304982015
2025-06-03,-0.04265146965962991
2025-06-04,-0.04164132018754152
2025-06-05,-0.044362056814515494
2025-06-06,-0.17629823278624934
2025-06-09,-0.41193044676621726
2025-06-10,0.14968972924224602
2025-06-11,0.17327341452093584
2025-06-12,-0.2521772425714582
2025-06-13,0.4385463982703683
2025-06-16,-0.09600267042950439
2025-06-17,-0.027039377734028414
2025-06-18,-0.025342767996902486
2025-06-20,-0.05859830476039842
2025-06-23,0.09599759493255265
2025-06-24,-0.15445413975174024
2025-06-25,-0.10833693230983082
2025-06-26,0.00984660611906102
2025-06-27,0.14963881284522845
2025-06-30,0.291435829088089
2025-07-01,-0.27144946515807816
2025-07-02,0.27723537274102333
2025-07-03,0.22321140330482803
2025-07-07,0.2894175354910369
2025-07-08,-0.028691969406377846
2025-07-09,-0.2510137393553774
2025-07-10,-0.02551552782875484
2025-07-11,0.17054272565582637
2025-07-14,-0.04836858561218755
2025-07-15,0.012187428398816697
2025-07-16,0.022177545526776272
2025-07-17,-0.008126444928982547
2025-07-18,-0.02715684837130557
2025-07-21,0.1909071831148185
2025-07-22,0.1499249577465785
2025-07-23,0.033860453473250035
2025-07-24,0.03876806392314899
2025-07-25,-0.015822670743516478
2025-07-28,0.2537500952263871
2025-07-29,-0.1757058520492786
2025-07-30,0.0036616684474045373
2025-07-31,0.029787915797881474
2025-08-01,-0.16155313917969485
2025-08-04,0.1463353835429636
2025-08-05,-0.020294910416996985
2025-08-06,0.16525337195539172
2025-08-07,-0.14666424818328214
2025-08-08,-0.0774418671442155
2025-08-11,0.04474970817745256
2025-08-12,-0.04106592506742967
2025-08-13,0.17724810473939615
2025-08-14,0.1454696389422094
2025-08-15,0.10626146724577569
2025-08-18,0.09765842075363342
2025-08-19,0.03212443992640517
2025-08-20,0.03074222504980519
2025-08-21,0.39605934739886317
2025-08-22,-0.09170038334908792
2025-08-25,-0.026764776279792075
2025-08-26,-0.0006007139573284116
2025-08-27,-0.3197141185281204
2025-08-28,0.3263177706711658
2025-08-29,-0.16072487700801544
2025-09-02,0.06802010296500378
2025-09-03,0.1564033409006746
2025-09-04,0.15312213146093678
2025-09-05,-0.03939746382143702
2025-09-08,0.21877544783490435
