,gross,net,turnover
2025-03-14,0.011853227717554236,0.009853227717554236,1.9999999999999996
2025-03-17,-0.01865614808202929,-0.019251892762880356,0.5957446808510638
2025-03-18,0.0206103212078736,0.0200571297185119,0.553191489361702
2025-03-19,-0.005091763419183368,-0.005432188951098261,0.3404255319148936
2025-03-20,0.009954181832615584,0.009400990343253882,0.553191489361702
2025-03-21,0.030631607860336675,0.030078416370974973,0.5531914893617021
2025-03-24,-0.004497247499765512,-0.005135545372105938,0.6382978723404256
2025-03-25,-0.030745884604758876,-0.031256522902631215,0.5106382978723404
2025-03-26,-0.02174478696790484,-0.022170318882798457,0.42553191489361697
2025-03-27,-0.022433959253558376,-0.0230722571258988,0.6382978723404255
2025-03-28,-0.01717305768769175,-0.017853908751521538,0.6808510638297872
2025-03-31,0.013187164814456642,0.012931845665520473,0.2553191489361702
2025-04-01,0.023162074838492502,0.022736542923598887,0.42553191489361697
2025-04-02,-0.11089953360769482,-0.11141017190556717,0.5106382978723404
2025-04-03,-0.014415961692723982,-0.01513936594804313,0.7234042553191489
2025-04-04,0.046911441250407,0.046315696569555934,0.5957446808510638
2025-04-07,-0.02464746944501035,-0.025073001359903965,0.42553191489361697
2025-04-08,0.1499163796629836,0.1493631881736219,0.553191489361702
2025-04-09,-0.08317286829325429,-0.08381116616559472,0.6382978723404256
2025-04-10,0.003733639522985694,0.003223001225113354,0.5106382978723404
2025-04-11,-0.0002038430507998283,-0.0007995877316508921,0.5957446808510638
2025-04-14,0.006007931962116384,0.0056249532387121284,0.3829787234042553
2025-04-15,-0.008534291510512318,-0.009130036191363381,0.5957446808510638
2025-04-16,0.008188204405125864,0.0075499065327854385,0.6382978723404256
2025-04-17,-0.014328981796774935,-0.015265152009540893,0.9361702127659574
2025-04-21,0.017689196645539806,0.017136005156178104,0.553191489361702
2025-04-22,0.038094144336819805,0.03771116561341555,0.38297872340425526
2025-04-23,0.04568072163965553,0.045084976958804465,0.5957446808510638
2025-04-24,0.009419376057191217,0.008951290950808238,0.46808510638297873
2025-04-25,0.004802352224013451,0.004206607543162388,0.5957446808510638
2025-04-28,-0.004362543836790831,-0.0048731821346631714,0.5106382978723404
