,gross,net,turnover
2025-04-03,-0.013615023869862575,-0.015615023869862575,2.0
2025-04-04,-0.007967620695435839,-0.010733578142244349,2.7659574468085104
2025-04-07,0.008909862269919877,0.005377947376302856,3.531914893617021
2025-04-08,0.060472141634276576,0.05779129057044679,2.6808510638297873
2025-04-09,-0.037518956752969526,-0.04037002058275676,2.8510638297872335
2025-04-10,-0.00016514355895117048,-0.0030162073887384047,2.851063829787234
2025-04-11,-0.0017671441957181127,-0.004533101642526623,2.7659574468085104
2025-04-14,0.004391999557326987,0.0013281697700929448,3.0638297872340425
2025-04-15,0.0005637895036612597,-0.0025425934750621442,3.106382978723404
2025-04-16,0.019970629324002058,0.016864246345278652,3.1063829787234045
2025-04-17,-0.013886067804513846,-0.017035003974726612,3.148936170212766
2025-04-21,0.008301806616339252,0.005067764063147764,3.2340425531914887
2025-04-22,-0.018188057957771907,-0.021847632425857015,3.659574468085106
2025-04-23,-0.048627997753507554,-0.05160672115776287,2.978723404255319
2025-04-24,-0.005816239711303402,-0.009348154604920424,3.531914893617021
2025-04-25,-0.0015797263572978194,-0.005239300825382926,3.659574468085106
2025-04-28,0.004310431306564957,0.0015444738597564468,2.7659574468085104
2025-04-29,-0.0004038722601105067,-0.003637914813301996,3.2340425531914896
2025-04-30,-0.0017504365401072356,-0.0048993727103200015,3.1489361702127656
2025-05-01,-0.013943632772350886,-0.016922356176606205,2.9787234042553195
2025-05-02,0.007890272280572826,0.004400910578445166,3.4893617021276597
2025-05-05,0.0057514325128570866,0.0020493048532826187,3.702127659574468
2025-05-06,-0.009757808079736228,-0.012779084675480909,3.0212765957446805
2025-05-07,0.02234855562942644,0.018901747118788143,3.4468085106382977
2025-05-08,0.001970992516168947,-0.0012630500370225425,3.2340425531914896
2025-05-09,0.03865787565975665,0.0353812799150758,3.276595744680851
2025-05-12,0.01687835621340396,0.013814526426169916,3.0638297872340425
2025-05-13,0.0005663609332801187,-0.002369809279485839,2.9361702127659575
2025-05-14,0.007460453189002885,0.004481729784747567,2.9787234042553186
2025-05-15,0.002228942941230255,-0.0009199932289825105,3.1489361702127656
2025-05-16,-0.010380815944486959,-0.01369996488065717,3.3191489361702127
2025-05-19,0.006735449127402099,0.003586512957189334,3.1489361702127656
2025-05-20,0.006179595885035435,0.0031583192892907547,3.0212765957446805
2025-05-21,-0.0008422618371464387,-0.004161410773316651,3.3191489361702127
2025-05-22,0.003019891112458891,0.00021138047416101834,2.8085106382978724
2025-05-23,-0.0031913089085409928,-0.006340245078753758,3.1489361702127656
2025-05-27,0.000520949259999768,-0.0024577741442555513,2.978723404255319
2025-05-28,-0.003528822512190011,-0.005954354427083628,2.425531914893617
2025-05-29,-0.0098193823458983,-0.012798105750153619,2.978723404255319
2025-05-30,-0.001374893409987668,-0.004608935963179157,3.234042553191489
2025-06-02,0.019378282209026005,0.016314452421791963,3.0638297872340425
2025-06-03,-0.00024753152064612924,-0.0028432762014971927,2.5957446808510634
2025-06-04,-0.0016269355435221595,-0.004775871713734925,3.1489361702127656
2025-06-05,0.012396445878387528,0.00946027566562157,2.9361702127659575
2025-06-06,0.014279721722754806,0.011215891935520764,3.0638297872340425
2025-06-09,-0.001695124955075055,-0.004929167508266544,3.234042553191489
2025-06-10,-0.009132039271594745,-0.01228097544180751,3.148936170212766
2025-06-11,-0.001204045591758263,-0.004225322187502944,3.0212765957446805
2025-06-12,0.0034077060794361126,0.00021621671773398507,3.1914893617021276
2025-06-13,-0.007701751985339475,-0.011020900921509688,3.3191489361702127
2025-06-16,0.007940718473153216,0.004919441877408535,3.0212765957446805
2025-06-17,-0.0009354133265120144,-0.004212009071192865,3.276595744680851
2025-06-18,-0.005476663685453283,-0.008029855174814986,2.5531914893617023
2025-06-20,0.007307080382932003,0.00424325059569796,3.0638297872340425
2025-06-23,0.008002931641617847,0.005066761428851889,2.9361702127659575
2025-06-24,0.004026675126218085,0.0009202921474946806,3.1063829787234045
2025-06-25,0.006695109782393695,0.0035036204206915678,3.1914893617021276
2025-06-26,0.0030694444296309235,-0.0002922576980286507,3.361702127659574
2025-06-27,-0.0029885519294072997,-0.0060523817166413425,3.0638297872340425
2025-06-30,-0.0015587116758205457,-0.004707647846033312,3.1489361702127656
2025-07-01,0.027494769627624625,0.024218173882943773,3.276595744680851
2025-07-02,-0.003543429359040658,-0.006649812337764063,3.1063829787234045
2025-07-03,-0.010353737282244696,-0.013247354303521293,2.8936170212765955
2025-07-07,0.016296749514870635,0.013318026110615316,2.978723404255319
2025-07-08,0.00031719250824957307,-0.0030019564279206395,3.3191489361702127
2025-07-09,0.003223709249063986,0.00041519861076611334,2.8085106382978724
2025-07-10,0.00739193248111714,0.00462597503430863,2.765957446808511
2025-07-11,0.010171676280770793,0.007278059259494197,2.8936170212765955
2025-07-14,0.003881294662046158,0.001285549981195094,2.595744680851064
2025-07-15,-0.002176964025761179,-0.00519824062150586,3.0212765957446805
2025-07-16,-0.008881226584174106,-0.012157822328854956,3.2765957446808507
2025-07-17,0.0021765449742583466,-0.0005468592810608025,2.723404255319149
2025-07-18,0.0006241480828550086,-0.0023971285128896722,3.021276595744681
2025-07-21,-0.00043447370804409764,-0.0038812822186823953,3.4468085106382977
2025-07-22,0.0024176220279688502,-0.0009866332911800855,3.4042553191489358
2025-07-23,0.005578466274334676,0.002089104572207017,3.4893617021276593
2025-07-24,0.00843938989094159,0.005290453720728824,3.1489361702127656
2025-07-25,0.015889516192243117,0.012783133213519713,3.106382978723404
2025-07-28,-0.009921305883487544,-0.013155348436679034,3.2340425531914896
2025-07-29,-0.002016717817434957,-0.005080547604668999,3.0638297872340425
2025-07-30,0.002636422809371919,-0.0008954920842451017,3.531914893617021
2025-07-31,0.0021349451987028277,-0.001141650545978023,3.2765957446808507
2025-08-01,-0.00468420571996829,-0.007705482315712971,3.021276595744681
2025-08-04,-0.002371496373559636,-0.005648092118240487,3.2765957446808507
2025-08-05,0.011787383532290252,0.008638447362077487,3.1489361702127656
2025-08-06,-0.0032559931795286216,-0.006277269775273302,3.0212765957446805
2025-08-07,-0.008831522501187693,-0.011937905479911097,3.106382978723404
2025-08-08,0.0008962737728267084,-0.002210109205896696,3.1063829787234045
2025-08-11,-0.0028307738520720166,-0.006064816405263506,3.2340425531914896
2025-08-12,-0.009538002237256475,-0.012729491598958602,3.1914893617021276
2025-08-13,-0.001011050113060694,-0.004372752240720268,3.361702127659574
2025-08-14,-0.0046052915001401785,-0.007754227670352944,3.148936170212766
2025-08-15,-0.005089497846362974,-0.008536306357001271,3.4468085106382977
2025-08-18,-0.006144474787164485,-0.009165751382909166,3.0212765957446805
2025-08-19,0.001415436105936421,-0.0014781809153401747,2.8936170212765955
2025-08-20,-8.924670134760198e-05,-0.0032807360630497293,3.1914893617021276
2025-08-21,-0.003992228429427642,-0.0068007390677255145,2.8085106382978724
2025-08-22,0.005237174991944277,0.0024712175451357668,2.7659574468085104
2025-08-25,0.0012138171958677598,-0.0019351189743450057,3.1489361702127656
2025-08-26,-0.002598034066242232,-0.005746970236454998,3.1489361702127656
2025-08-27,-0.0015068004636014636,-0.004570630250835506,3.0638297872340425
2025-08-28,-0.011764751948500424,-0.014488156203819573,2.7234042553191484
2025-08-29,-4.330665514647256e-05,-0.0029369236764230683,2.8936170212765955
2025-09-02,0.003081423065753917,-0.00015261948743757262,3.2340425531914896
2025-09-03,0.0060325038738231595,0.0030963336610572018,2.9361702127659575
2025-09-04,0.0017073014277365426,-0.001271421976518777,2.9787234042553195
2025-09-05,-0.0013995079228907284,-0.004335678135656686,2.9361702127659575
2025-09-08,0.0036874566189424715,0.0005810736402190675,3.106382978723404
2025-09-09,0.004793497835325596,0.0016020084736234684,3.1914893617021276
2025-09-10,0.007781678150616039,0.00454763559742455,3.234042553191489
2025-09-11,-0.008753643859737589,-0.011902580029950354,3.1489361702127656
2025-09-12,-0.0039481928719435535,-0.006671597127262703,2.723404255319149
2025-09-15,0.0029234393079333896,-0.00022549686227937632,3.148936170212766
2025-09-16,0.006659685006331714,0.0035958552190976717,3.0638297872340425
2025-09-17,-0.012140645142743723,-0.014991708972530958,2.851063829787234
2025-09-18,-0.005244275266453227,-0.008435764628155354,3.1914893617021276
2025-09-19,-0.004357668811706428,-0.007676817747876641,3.3191489361702127
2025-09-22,-0.003600830189014291,-0.007090191891141951,3.4893617021276597
2025-09-23,0.003839884313415375,0.0006058417602238853,3.2340425531914896
2025-09-24,-0.0012934753055773428,-0.004527517858768832,3.2340425531914896
2025-09-25,0.0009154316144400661,-0.0020207385983258917,2.9361702127659575
2025-09-26,-0.0036644912070961317,-0.006600661419862089,2.9361702127659575
2025-09-29,-0.001524264165051694,-0.004588093952285736,3.0638297872340425
2025-09-30,0.01623237201930988,0.01278556350867158,3.4468085106382977
2025-10-01,-0.0019672276929610212,-0.005073610671684425,3.106382978723404
2025-10-02,0.0025990157229627813,-0.0005073672557606231,3.1063829787234045
2025-10-03,-0.0010332519924168935,-0.004097081779650936,3.0638297872340425
2025-10-06,-0.005396710324814499,-0.008503093303537903,3.1063829787234045
