,gross,net,turnover
2025-03-14,0.004099666889623164,0.0020996668896231647,1.9999999999999998
2025-03-17,0.0006854559704809983,-0.0013570972210083638,2.042553191489362
2025-03-18,0.006521180746432869,0.004563733937922232,1.957446808510638
2025-03-19,-0.006612610245901258,-0.008953035777816152,2.3404255319148937
2025-03-20,0.004193514024007797,0.0024488331729439674,1.7446808510638296
2025-03-21,-0.0021906493159204224,-0.004275755698899146,2.085106382978723
2025-03-24,-0.010160815511939137,-0.012714007001300839,2.5531914893617023
2025-03-25,0.02794548585153918,0.025945485851539177,2.0
2025-03-26,-0.01703956642465547,-0.01980552387146398,2.7659574468085104
2025-03-27,-0.010254517475953028,-0.011956645135527496,1.702127659574468
2025-03-28,-0.01359497617677528,-0.015254550644860386,1.6595744680851063
2025-03-31,0.011890252545584944,0.010358337651967923,1.5319148936170213
2025-04-01,0.0073214464640106135,0.005108680506563806,2.212765957446808
2025-04-02,0.03021602785373305,0.027918155513307518,2.297872340425532
2025-04-03,-0.020668863975244794,-0.02403056610290437,3.3617021276595747
2025-04-04,0.04000969466033759,0.03817990742629503,1.8297872340425532
2025-04-07,-0.011751638971234456,-0.013666532588255733,1.9148936170212765
2025-04-08,0.08796572884386208,0.08592317565237273,2.0425531914893615
2025-04-09,0.05614898890811712,0.05270218039747882,3.4468085106382977
2025-04-10,-0.0007557804576131185,-0.003308971946974821,2.5531914893617023
2025-04-11,0.013643924313463628,0.011814137079421076,1.829787234042553
2025-04-14,0.002717153875137421,0.0005043879176906125,2.212765957446808
2025-04-15,-0.002872297194466847,-0.005127616343403018,2.25531914893617
2025-04-16,-0.0025911682268029987,-0.004761380992760446,2.1702127659574466
2025-04-17,-0.015096250436011146,-0.017053697244521784,1.9574468085106382
2025-04-21,0.014626732921510182,0.013137371219382523,1.4893617021276595
2025-04-22,0.013242615820304985,0.011072403054347538,2.170212765957447
2025-04-23,-0.034595385278040104,-0.037020917192933725,2.425531914893617
2025-04-24,-0.006308282560642879,-0.008393388943621603,2.085106382978723
2025-04-25,0.002648831381985145,0.0010743632968787619,1.574468085106383
2025-04-28,0.003826572700339231,0.0021669982322541246,1.6595744680851063
2025-04-29,0.0006086561918098291,-0.001646662957126341,2.25531914893617
