date_idx,ic,n_stocks
1749,0.09787617442086953,477
1750,-0.21997130187105227,477
1751,0.11718207210624629,477
1752,-0.08811218162331418,477
1753,0.15591715454544058,477
1754,-0.05774738990374663,477
1755,-0.1671881962033004,477
1756,0.2010745534103425,477
1757,0.04105839381460474,477
1758,0.10656204026921856,477
1759,-0.12948171675441378,477
1760,-0.005273126946574848,477
1761,0.06837384385765467,477
1762,-0.12243163457799065,477
1763,-0.1569813411985366,477
1764,0.401695170150349,477
1765,-0.1322132129295979,477
1766,0.4081523034192646,477
1767,0.015771478338776495,477
1768,-0.015462485700213106,477
1769,0.1495971197339382,477
1770,0.053645618196071686,477
1771,0.09489420097769605,477
1772,0.16171455352564965,477
1773,0.04200342158488565,477
1774,0.2103438767959918,477
1775,0.12262448606263689,477
1776,-0.05341807672650926,477
1777,-0.10342905293472494,477
1778,0.11352861231563935,477
1779,-0.10703250590303527,477
1780,-0.11416015346562582,477
1781,-0.1434061572308046,477
1782,0.029874683341726493,477
1783,-0.11283924174572868,477
1784,0.07298160982924705,477
1785,-0.053469127755352557,477
1786,0.04332657213505381,477
1787,0.01438901597307201,477
1788,-0.029992050418946495,477
1789,-0.13220849980076418,477
1790,-0.12856600177325078,477
1791,0.1992698138379568,477
1792,0.18555630267853276,477
1793,0.02692870333308019,477
1794,0.14043580479047774,477
1795,-0.14769430758920443,477
1796,-0.04494030477182039,477
1797,0.042180051223747156,477
1798,0.0971890431900364,477
1799,0.06379007367278962,477
1800,-0.046649074229228295,477
1801,-0.034947337028945286,477
1802,-0.040178842363571575,477
1803,0.2555088927758424,477
1804,0.12771484112600343,477
1805,-0.015888268092643782,477
1806,0.09315475532085381,477
1807,0.0020093725364402496,477
1808,-0.12449995032021206,477
1809,0.035752399548627245,477
1810,0.024339831989179106,477
1811,-0.07480008852258324,477
1812,0.1247102402382754,477
1813,-0.07429152086197975,477
1814,-0.1099206384972301,477
1815,0.07678010772431838,477
1816,0.0499928573854185,477
1817,0.16274466269912066,477
1818,-0.03822407954220029,477
1819,-0.019224677909523116,477
1820,0.05715529734314201,477
1821,0.023788138713963167,477
1822,0.0811745017169271,477
1823,0.12678384504916523,477
1824,0.007747095735244882,477
1825,0.06555904916987834,477
1826,0.08459311135576969,477
1827,-0.008082698264312767,477
1828,-0.10435388343053195,477
1829,0.08456151388653467,477
1830,0.16034569696210219,477
1831,0.11260683334104961,477
1832,-0.006803980454109961,477
1833,-0.059299268197865865,477
1834,-0.009004530585921098,477
1835,-0.007547862361424656,477
1836,0.0505067657275566,477
1837,0.164170141711718,477
1838,-0.06450518868325122,477
1839,0.07427993075444689,477
1840,0.12847380383287477,477
1841,-0.006627747334098593,477
1842,-0.13699018252205647,477
1843,0.043018619011966075,477
1844,-0.006874607644893334,477
1845,-0.14670001135951444,477
1846,0.08359741645854327,477
1847,-0.07466096894617452,477
1848,0.057134771061068505,477
1849,-0.11539337375881019,477
1850,-0.08127230506917588,477
1851,0.1792631925647967,477
1852,0.11653015992434296,477
1853,-0.004525608414283384,477
1854,0.040241385913398285,477
1855,0.06256244178599396,477
1856,-0.2071870340069457,477
1857,0.06261388577937944,477
1858,0.015447922749042923,477
1859,0.14034076089605774,477
1860,0.1544961351122889,477
1861,0.09292514428582577,477
1862,0.040177138867488034,477
1863,-0.0548894582512831,477
1864,-0.10408893016116773,477
1865,0.09058579043937216,477
1866,0.07279734623016913,477
1867,-0.012089806929536559,477
1868,0.14585672505711525,477
1869,-0.08800721675817343,477
1870,0.0028288853686884666,477
1871,0.16160687220454495,477
1872,0.030663332663850962,477
1873,-0.059012956296095403,477
1874,-0.11723873514327836,477
1875,0.04500956977006469,477
1876,0.10607436976004533,477
1877,-0.10054295013347385,477
1878,-0.017315371685275326,477
1879,-0.08311908862738772,477
1880,-0.006004860129883982,477
1881,0.14450855414163075,477
1882,-0.02707432934292225,477
1883,-0.03347184311005501,477
1884,-0.020140801885714866,477
1885,0.01750678155078948,477
1886,-0.004636180616846245,477
1887,0.11812741667004727,477
1888,-0.07309852776132068,477
1889,-0.045281244665335174,477
1890,-0.032757282868899174,477
1891,-0.06139882418977409,477
1892,0.02528938271505506,477
1893,-0.19048814312508455,477
1894,0.2722590259292668,477
1895,-0.02902837653146188,477
1896,0.11304593556736657,477
1897,0.05402181008199209,477
1898,-0.06290039326268326,477
1899,0.09435350071108675,477
1900,0.029065206055993047,477
1901,-0.07200139211717077,477
1902,0.19999229495678875,477
1903,0.1329013917578887,477
1904,-0.046410381076631924,477
1905,-0.039921055540598376,477
1906,-0.0064865363880928185,477
1907,-0.005705170023600823,477
1908,0.05220578522924592,477
1909,-0.10348027756571432,477
1910,0.08670162365908796,477
1911,-0.014719576923575802,477
1912,-0.16355674051671953,477
1913,-0.013195814360633013,477
1914,-0.05893888355192877,477
1915,-0.06207125917520674,477
1916,0.1160145256922935,477
1917,-0.14997077627272237,477
1918,-0.03606857416985974,477
1919,-0.04424812719239387,477
1920,-0.2134086626881221,477
1921,0.1965942882073735,477
1922,-0.3276655109840695,477
1923,0.06379767472880794,477
1924,0.24172456277268337,477
1925,-0.07269967740980197,477
1926,0.2875902707080734,477
1927,0.28976076122433586,477
1928,-0.015583318367398038,477
1929,-0.06629540351018366,477
1930,-0.07182974081575741,477
1931,0.07075910825285951,477
1932,-0.08310667047137667,477
1933,0.051590296028588944,477
1934,-0.010132119800060029,477
1935,-0.08985882303611495,477
1936,-0.03914641351950755,477
1937,0.14466318240487097,477
1938,0.054798581039128574,477
1939,-0.0448006049591483,477
1940,0.05718256805528879,477
1941,0.11152278776024929,477
1942,0.1950911245819387,477
1943,-0.034483811204027236,477
1944,0.03463348899298891,477
1945,-0.09911180762968713,477
1946,0.10794452400497039,477
1947,-0.0317282091632227,477
1948,0.05626280312396422,477
1949,-0.06323973856096395,477
1950,0.26459172977142076,477
1951,0.015354442121188963,477
1952,0.11390487511667569,477
1953,0.0897745995871494,477
1954,0.08048592188261856,477
1955,-0.06424686261173206,477
1956,-0.036981527692855655,477
1957,0.04198635325273912,477
