knob,value,n_weeks,net_sharpe,net_sharpe_se,gross_sharpe,net_ann,net_maxdd,turnover,zero_books
cost_bps,0.0,215,1.0443230736417992,0.4943650159833664,1.0443230736417992,0.07790806377929926,-0.09397710482513355,0.8403127253451231,0
cost_bps,2.0,215,0.9276310466046275,0.4938234769787747,1.0441957691892643,0.06851534353146427,-0.0991182054144053,0.8395865426778814,0
cost_bps,5.0,215,0.7520405307881717,0.49312851516110445,1.0434400740738592,0.054651256450664265,-0.10736327463608286,0.8392606044068738,0
cost_bps,8.0,215,0.5794876787084832,0.49258644848598376,1.045548120380614,0.04120036012485695,-0.11486073350367809,0.8386738883930225,0
cost_bps,10.0,215,0.4657793670458823,0.49230580026430076,1.0487728337050526,0.03240049986986482,-0.12021008870626548,0.838312168207901,0
cost_bps,15.0,215,0.17395193625632374,0.49186465163282217,1.04859416915846,0.010231393971953828,-0.1335348737329498,0.8374012422021759,0
cost_bps,20.0,215,-0.12418138209862313,0.49182957205051747,1.043455048045042,-0.011882843391148756,-0.14693842654223233,0.8364000853241181,0
cost_bps,30.0,215,-0.7071895857283895,0.49297416581720493,1.04580696268641,-0.05362842724644268,-0.2460891087544087,0.8345160306576277,0
gross,1.0,215,0.7584465439618397,0.4931513309886984,1.1475965551833427,0.051257770984439954,-0.09918401250190811,0.6487453861955148,0
gross,1.5,215,0.6783404838871029,0.4928798754828609,1.1032058814583814,0.04789223068496251,-0.1048359087624926,0.7471373151804076,0
gross,2.0,215,0.5794876787084832,0.49258644848598376,1.045548120380614,0.04120036012485695,-0.11486073350367809,0.8386738883930225,0
gross,2.5,215,0.47039387958908374,0.4923160036464452,0.95278805708232,0.033532086174829834,-0.11978486509148778,0.8874994606596691,0
gross,3.0,215,0.3131231454755901,0.492024876720851,0.8084033524198057,0.02159719524645909,-0.12528117317527543,0.9294986365264869,0
name_cap,0.02,215,0.16173976425153194,0.4918549600718719,0.6845133299706194,0.009834563526496032,-0.13505256410039757,1.0104407014420231,0
name_cap,0.03,215,0.39717333574810476,0.4921659453992787,0.8870112336847465,0.027701600888896172,-0.11851438834359151,0.8984029470679858,0
name_cap,0.04,215,0.5794876787084832,0.49258644848598376,1.045548120380614,0.04120036012485695,-0.11486073350367809,0.8386738883930225,0
name_cap,0.06,215,0.7747323387533608,0.49321020141826666,1.2095414395513258,0.0525630621230726,-0.10120703603080283,0.7276862546765179,0
name_cap,0.1,215,0.7499532461912422,0.49312112260738195,1.11202120141272,0.04981897072751362,-0.10087079373640617,0.5944470382618987,0
halflife,1.0,215,0.5366112602554111,0.49247347147211634,1.2392379436648155,0.03361647173196913,-0.09493447953751555,1.1117481677534788,0
halflife,2.0,215,0.5794876787084832,0.49258644848598376,1.045548120380614,0.04120036012485695,-0.11486073350367809,0.8386738883930225,0
halflife,3.0,215,0.30493942152617476,0.49201292299817784,0.6926215875078453,0.019715232764250912,-0.11184288455775948,0.67855019681873,0
halflife,4.0,215,0.2989351375817504,0.492004353867295,0.6335602805686301,0.01928788450545671,-0.13360969214607787,0.5851844956183233,0
target_vol,0.06,215,0.5786378331650358,0.4925841251300762,1.0452769666086763,0.025150365847190326,-0.07010957873764345,0.5035621404442533,0
target_vol,0.08,215,0.579990168020569,0.49258782381867683,1.046261553586054,0.033309812567785535,-0.09263960227133261,0.671119811863237,0
target_vol,0.1,215,0.5794876787084832,0.49258644848598376,1.045548120380614,0.04120036012485695,-0.11486073350367809,0.8386738883930225,0
target_vol,0.12,215,0.5784636432938337,0.4925836493396567,1.0443605976073844,0.048854681445223314,-0.13680665146672666,1.0062030133304636,0
target_vol,0.15,215,0.5776504647426687,0.4925814300747229,1.043511071117552,0.060004306158750076,-0.16912658206830145,1.257343737609652,0
