signal,sharpe,t,hold,turnover,ic
ensemble,0.377768386798032,0.9541497944542613,0.20023117734188725,0.8186128889172548,0.0009318839314388529
peer,-0.4269754344218401,-1.0954682911659477,0.1989260818645034,0.5123459540048875,-0.017205282747504373
trend,0.2865279831690871,0.6716905443002997,0.6997709227993503,0.3434683715165305,0.0035477413755967135
low_ivol,-1.015376892390065,-2.4143328706798015,-0.9755809895895867,0.24360110407199856,-3.2111187461557614e-05
bab,-0.7460739380136276,-1.735248022217651,0.6138154207894206,0.3370364271029305,-0.006985382629527001
volmom,0.36574657010468137,1.006833353188266,0.42284969361559743,0.24261621122362523,0.01881510448510967
high52,-0.35965303941652904,-1.0776269905784843,-0.21373793583911038,0.35488196013551976,0.011608870294223791
tsmom,-0.04855633967015459,-0.1285595010490555,0.24358216064984065,0.524842424857918,0.010085141280717165
season,-0.25602550905979726,-0.6727190718128764,-0.5567016029241043,0.5854057831954381,-0.00039069126919826137
highfreq_rev,-0.49765629217135193,-1.2583188545906372,-0.6499330611042156,0.9412565634149664,0.016320995160700666
leadlag,-0.9687983102874753,-2.6803504352495398,-1.274555566415167,1.3528558164715114,-0.0033616236944275946
secpeer,-0.6187202155483444,-1.3847325358669766,-0.971330578229597,0.7631358865171538,-0.014161717696683849
ens_peer,-0.28613477417065897,-0.6806898087046533,0.28397872171658783,0.623932289619227,-0.01435354863149838
ens_trend,0.21183460691194217,0.4959916658421862,0.6871857465281517,0.5059691215734778,0.004949473758819452
ens_low_ivol,-1.1052494904831718,-2.7253799873114706,-1.1891193401223754,0.6334318723796026,0.0018664783697720858
ens_bab,-0.09430319868541168,-0.2127621018362418,0.41473820440474135,0.710579226102224,-0.0027015281625267754
ens_volmom,0.6848256511608127,1.9090632431170431,0.631765452083705,0.4688692531145217,0.018171401760448198
ens_high52,0.07382223503033504,0.17474662590999104,0.18387557373915686,0.586143700734908,0.012584062963641684
ens_tsmom,0.37334522488111255,0.8803153053809682,0.8371092573070217,0.6093090860931042,0.010435281247858842
ens_season,-0.07249658800741167,-0.19775617863965467,0.06623845169303744,0.6632964828553813,0.00043273790074038147
ens_highfreq_rev,0.10352934819727291,0.27292159079894496,0.2029301496481373,0.9766182211607541,0.010040261842389313
ens_leadlag,-0.19069975079240695,-0.4794458034551531,-0.2243623895166588,0.9679044425795065,0.0006936593860951181
ens_secpeer,-0.0321130614256957,-0.08173710266247176,0.37818319674914874,0.7217273361237266,-0.013432547257252184
