variant,regime,blend_w_gbm,weeks,ic_mean,icir
base,low,0.0,65,0.015493216616097281,0.13486170411639217
base,normal,0.0,67,0.0036987316073752003,0.03569115031598356
base,high,0.0,83,-0.006544029362799231,-0.05350345979705665
parsus,low,0.0,65,0.016636002859585206,0.13735422756956253
parsus,normal,0.0,67,0.003914057949579724,0.03696910554256109
parsus,high,0.0,83,-0.007819792031231801,-0.06364873315131758
