model,level,family,n_params,ic_mean,ic_std,icir,tstat,pvalue,pct_positive,ic_ci_low,ic_ci_high,ic_pearson,sharpe,ann_return,max_drawdown,total_return,beta,turnover_mean,n_days,seconds
zero,L0,sanity,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.1
momentum,L0,sanity,0,-0.0127849133703482,0.1909117439194731,-0.0669676632137463,-1.0588517266725483,0.2906933901641799,47.599999999999994,-0.0372708372257184,0.0104641084814286,-0.0102111175310715,-1.4289407240894476,-0.3093644596078858,-0.3624749711847843,-0.3073326359435746,-0.6429336088899427,1.140255319148936,250,0.5
reversal,L0,sanity,0,0.0126499081539975,0.1880696582217383,0.067261823483951,1.063502808927436,0.2885842732953101,50.0,-0.0091653335187236,0.036612906891934,0.0109052283244063,-1.4257614112849812,-0.276561726550056,-0.3817610798217116,-0.2747005592224256,0.3361497769827946,2.049531914893617,250,0.5
ridge,L1,linear,376,0.0173022611900754,0.1625889225203503,0.1064172203239114,1.6826039924376084,0.0937052453588472,52.8,-0.0022176946991709,0.0378035180095645,0.0178301635463547,-2.8541769376789548,-0.4421506671693728,-0.5190400254543619,-0.4395605625048154,0.1632965572804758,3.1480851063829784,250,3.0
lasso,L1,linear,5,0.023774097547643,0.2500100050816485,0.0950925845542816,1.5035457789183884,0.1339656120782778,51.2,-0.0060760569347374,0.055442581643269,0.0322390621568999,0.9099339914954168,0.2744303149599838,-0.1802251851280107,0.271979908523561,1.3147492099682596,0.6051063829787233,250,3.7
elasticnet,L1,linear,19,0.0156822325997894,0.2282442660520801,0.0687081120198265,1.0863706385632204,0.2783656045091138,52.0,-0.0117263977984906,0.0446107515775044,0.0241264588226762,-0.0606882931064482,-0.0586537095136209,-0.192285213669582,-0.0582020223907305,1.1588636151224223,1.4177021276595745,250,3.7
lightgbm,L2,trees,31,0.0136452189992468,0.1229587081599249,0.1109739944689348,1.7546529178438088,0.0805486677328025,50.4,-0.0008857130032218,0.029950965768071,0.00451189447769,0.2062235458576056,0.0208665411334221,-0.1225221531932733,0.0206992314423446,0.5716953343625218,1.0180425531914894,250,4.7
xgboost,L2,trees,9600,0.0141027184800041,0.1523263164697401,0.0925822852337247,1.4638544616097238,0.144494987339874,52.400000000000006,-0.0046620114797577,0.0344934012756428,0.0166197841061115,-1.850537328000912,-0.3582163174151881,-0.3621569866592997,-0.3559533401160261,0.8388954075151548,1.9186382978723404,250,19.3
stockformer,L5,transformer,1041755,-0.0033274217429106433,0.1464002738296191,-0.022728248082261805,-0.3491579722271362,0.7272833705049201,48.728813559322035,-0.022271599787040044,0.014293433020201023,-0.003943196396244112,-4.95256443154458,-0.5487548552866071,-0.5423230248395898,-0.5253706364865188,0.2672552967712253,3.1197259285971866,236,0.0
