date,gross,net,turnover,ic
2020-03-27,-0.0056719045259200525,-0.005908308483794343,0.295504947342863,-0.09817388706489147
2020-04-03,-0.005264838081839255,-0.005429295011934971,0.2055711626196455,-0.04288443094929611
2020-04-09,0.00676247230659095,0.006624430471775501,0.172552293519311,0.1631468565953262
2020-04-17,-0.0014393203171343281,-0.001583806054991594,0.18060717232158235,-0.10649808198324721
2020-04-24,-0.006240620945180794,-0.006398158172599376,0.1969215342732273,-0.14205718602274728
2020-05-01,-0.0001825788209751033,-0.00032945521032837167,0.18359548669158543,0.02780753889935227
2020-05-08,0.00930448972654552,0.009159479355449382,0.18126296387017463,0.30357847725811726
2020-05-15,-0.004916666612679368,-0.005070605303903561,0.19242336403024074,-0.22540240537677136
2020-05-22,-0.004245044967952437,-0.004392205867250657,0.18395112412277564,-0.18263230136137504
2020-05-29,-0.008956889275625993,-0.009079675661438111,0.15348298226514717,-0.31525242922621005
2020-06-05,0.00434295582060874,0.004218947888291179,0.15500991539695116,0.313120132398108
2020-06-12,0.0022618742528392405,0.002127728032067712,0.16768277596441067,0.24047000974543123
2020-06-19,0.0010006792739791356,0.0008757762417306583,0.15612879031059668,0.10690585541866543
2020-06-26,0.0007400414701623915,0.0005697556913959526,0.21285722345804864,0.04895260385673176
2020-07-02,0.006786775914044587,0.006695654973976217,0.11390117508546158,0.16401945636547818
2020-07-10,-0.00495020792755462,-0.005159411263776364,0.2615041702771801,-0.09765377691299144
2020-07-17,0.0004856683463062005,0.0002554008789884117,0.2878343341472359,-0.06928510726940179
2020-07-24,0.007004785276810721,0.006771660530345863,0.29140593308107227,0.13830363597242795
2020-07-31,0.001183862906438445,0.0008373172651799606,0.4331820515731055,-0.008160886522446665
2020-08-07,0.001048112418768375,0.0008503882638098845,0.24715519369811298,-0.04889278676655788
2020-08-14,0.012170222069243801,0.011873497355832825,0.3709058917637199,0.21396993312206067
2020-08-21,0.005308182252196308,0.005022254071774596,0.3574102255271395,-0.03827232321838501
2020-08-28,-0.015920746725914876,-0.01636701274509479,0.5578325239748956,-0.3334528569460467
2020-09-04,-0.0016903082140176185,-0.0022269051828185636,0.6707462110011817,-0.0528351863363171
2020-09-11,-0.001502863432452648,-0.0017989411499806797,0.3700971469100395,-0.04433585228517869
