model,level,family,n_params,ic_mean,ic_std,icir,tstat,pvalue,pct_positive,ic_ci_low,ic_ci_high,ic_pearson,sharpe,ann_return,max_drawdown,total_return,beta,turnover_mean,n_days,seconds
zero,L0,sanity,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.1
momentum,L0,sanity,0,-0.012784913370348254,0.19091174391947313,-0.0669676632137463,-1.0588517266725483,0.2906933901641799,47.599999999999994,-0.03727083722571844,0.010464108481428635,-0.01021111753107155,-1.4289407240894476,-0.30936445960788583,-0.36247497118478433,-0.30733263594357463,-0.6429336088899427,1.140255319148936,250,0.4
reversal,L0,sanity,0,0.012649908153997566,0.18806965822173835,0.06726182348395104,1.063502808927436,0.28858427329531017,50.0,-0.009165333518723612,0.03661290689193404,0.010905228324406368,-1.4257614112849812,-0.27656172655005606,-0.3817610798217116,-0.27470055922242564,0.33614977698279463,2.049531914893617,250,0.3
ridge,L1,linear,376,0.017302261190075493,0.16258892252035032,0.10641722032391149,1.6826039924376084,0.09370524535884726,52.800000000000004,-0.002217694699170975,0.037803518009564524,0.017830163546354753,-2.8541769376789548,-0.4421506671693728,-0.5190400254543619,-0.43956056250481546,0.16329655728047587,3.1480851063829784,250,3.1
lasso,L1,linear,5,0.02377409754764306,0.25001000508164856,0.09509258455428168,1.5035457789183884,0.13396561207827784,51.2,-0.0060760569347374435,0.055442581643269054,0.03223906215689992,0.9099339914954169,0.2744303149599838,-0.18022518512801078,0.271979908523561,1.3147492099682596,0.6051063829787233,250,3.9
elasticnet,L1,linear,19,0.015682232599789417,0.2282442660520801,0.06870811201982657,1.0863706385632204,0.2783656045091138,52.0,-0.011726397798490624,0.044610751577504486,0.02412645882267629,-0.06068829310644821,-0.05865370951362092,-0.19228521366958207,-0.05820202239073058,1.1588636151224225,1.4177021276595743,250,3.5
lightgbm,L2,trees,31,0.013645218999246884,0.12295870815992499,0.1109739944689348,1.7546529178438088,0.08054866773280253,50.4,-0.0008857130032218144,0.02995096576807106,0.004511894477690045,0.20622354585760563,0.020866541133422123,-0.12252215319327331,0.020699231442344646,0.5716953343625218,1.0180425531914894,250,4.1
