model,n,mean_dIC,sd_dIC,se,tstat,p_t,days_pos,pct_pos,sign_p_one,sign_p_two,wilcoxon_p,ci_low,ci_high,mde_80
ridge,236,0.01870457280974444,0.20214140694188204,0.013158284816947587,1.421505391466626,0.15649559515796327,120,50.847457627118644,0.4226116834090463,0.8452233668180926,0.25424892792448917,-0.007218696510313611,0.04462784212980249,0.036864056238880664
lasso,236,0.03193737378521718,0.26355375024501926,0.01715588786465555,1.8615984224876145,0.06390820032099391,130,55.08474576271186,0.06708890960936141,0.13417781921872282,0.10809976197653255,-0.0018616135240839687,0.06573636109451833,0.048063681845222646
elasticnet,236,0.025103489402788216,0.2525188772928048,0.016437578818425277,1.527201157791506,0.12805579107402973,127,53.813559322033896,0.13421365584594647,0.26842731169189293,0.1830135799995748,-0.007280350026716464,0.05748732883229289,0.04605127783926709
lightgbm,236,0.017791261002519702,0.16802263806486603,0.010937342134895016,1.6266530554765786,0.10515092879486704,127,53.813559322033896,0.13421365584594647,0.26842731169189293,0.16435112161926668,-0.0037565067919058705,0.03933902879694527,0.03064189605056601
xgboost,236,0.021372095649696752,0.19136620122604328,0.01245687866807789,1.7156862661322276,0.0875374626812563,124,52.54237288135593,0.23702214925795936,0.4740442985159187,0.19950675729502343,-0.0031693263587363914,0.0459135176581299,0.03489900714031378
