date,gross,net,turnover,ic
2025-03-14,-0.0044244782642060745,-0.005149179321041947,0.9058763210448406,-0.09752275426630744
2025-03-21,0.0006829392815526142,0.0001966013826941122,0.6079223735731274,0.0306319891183757
2025-03-28,-0.002743954564432124,-0.0030470523957466036,0.37887228914309923,0.013291114187839815
2025-04-04,0.0008560444204182638,0.0005377570232564049,0.39785924645232373,-0.0035108540929595176
2025-04-11,0.0006999760564505852,0.00027756627924024966,0.5280122215129195,-0.14964267857612767
2025-04-17,0.007561814352527251,0.007221149874265556,0.4258305978271186,0.20470303855338612
2025-04-25,-0.004153416261475762,-0.004618025115185441,0.5807610671370976,-0.059624813057772244
2025-05-02,0.003930330462377503,0.0036180845925133536,0.39030733733018647,-0.04460143574284533
2025-05-09,0.005556074078668228,0.005239724929442501,0.3954364365321581,-0.05651941047990996
2025-05-16,-0.001614669712636903,-0.0018751418126087239,0.325590124964776,-0.0806523446198563
2025-05-23,-0.0035540033403139866,-0.0040271976530101995,0.5914928908702659,-0.07347617344877479
2025-05-30,0.005002973096043017,0.004534914000898632,0.5850738689304814,-0.022431519382837998
2025-06-06,0.004475148538123072,0.003768942856884926,0.8827571015476827,0.23769918482905908
2025-06-13,-0.007655514667491795,-0.00810020618052988,0.5558643912976065,-0.1566354180418516
2025-06-20,-0.00465218952111999,-0.0051298756155518325,0.5971076180398027,-0.11472376113941272
2025-06-27,0.006952679907586602,0.00609185223748962,1.0760345876212272,0.03857306718376938
2025-07-03,0.013588976949635376,0.012751358812501237,1.047022671417675,0.13191227386983842
2025-07-11,-0.016943078299068614,-0.017766914958210388,1.029795823927216,-0.20292455815514804
2025-07-18,0.01752332846766466,0.016896820773535267,0.7831346176617424,0.06935598112300892
2025-07-25,-0.0010535240289852906,-0.0020420398430841084,1.2356447676235225,-0.08157746401631623
2025-08-01,0.006346507094856375,0.0054833686637055365,1.0789230389385482,-0.03805594235799632
2025-08-08,0.024674567401324385,0.023499581150455782,1.4687328135857542,0.2605906655707202
2025-08-15,0.0011742445349396933,9.32656407180404e-05,1.351223617777066,0.08435016858247205
2025-08-22,-1.0668135177915004e-05,-0.0006014764308778472,0.7385103696249151,0.012733742743169737
2025-08-29,-0.005530338450049906,-0.006107129266996901,0.7209885211837432,-0.06422973389245173
2025-09-05,0.008882281925046118,0.008330333301216797,0.6899357797866524,0.10013734711536781
2025-09-12,0.017827353634901837,0.016925950303972214,1.126754163662028,0.01678162383608215
2025-09-19,0.023583539110569186,0.02287983335656406,0.8796321925064063,0.019576110226201475
2025-09-26,0.01003524729997975,0.00890862955200011,1.4082721849745492,-0.0037073327791683494
2025-10-03,-0.01214439169005001,-0.013268193695346271,1.4047525066203284,-0.05752701333158193
2025-10-10,0.012747687759436546,0.011903377421189932,1.0553879228082677,0.0982519478147302
2025-10-17,0.005559220390734365,0.004699666866316583,1.074441905522228,0.11099486767154955
2025-10-24,0.007658721417155516,0.007136830610691111,0.6523635080805061,0.03891317322697611
2025-10-31,-0.007145357524181516,-0.007832485268731228,0.858909680687141,-0.11596101296759327
2025-11-07,-0.004210162552981635,-0.004889721264601771,0.849448389525169,-0.00824768211539767
2025-11-14,-0.0229203539998983,-0.023497147896390732,0.7209923706155404,-0.25021953203796715
2025-11-21,0.01889742784944882,0.017997354693764702,1.1250914446051494,0.176483192945608
2025-11-28,0.004713847841553238,0.004069509045983663,0.8054234944619689,0.1065089176114118
2025-12-05,-0.005332125893847978,-0.005810088996266282,0.5974538780228796,-0.09791228404206079
2025-12-12,-0.0002652620562962211,-0.0007372975307824725,0.5900443431078143,-0.019783535108209224
2025-12-19,0.0025338695528312064,0.0020832902242106702,0.5632241607756703,0.022036018954830688
2025-12-26,0.006464453209207024,0.0054829271456682,1.2269075794235298,0.15690752498994384
2026-01-02,0.0005559266605909691,-0.0003470782276094737,1.1287561102505534,-0.01900204306874719
2026-01-09,0.0049230261897895465,0.003996487777367854,1.1581730155271155,0.05929111993735679
2026-01-16,0.017105603377657014,0.01629551173179256,1.0126145573305692,0.16103534648247864
2026-01-23,-0.016659049505577346,-0.017465191835762204,1.007677912731072,-0.09114023757446452
2026-01-30,-0.02344911702881309,-0.023915845765078877,0.5834109203322335,-0.13533224136737665
2026-02-06,-0.006210235413981194,-0.006832166333549488,0.7774136494603676,-0.108318356947263
2026-02-13,0.0007969837215136529,0.0002646720793869136,0.6653895526584241,0.018574809729686455
2026-02-20,0.005350586466300539,0.004891900100399467,0.5733579573763403,0.14751159799200325
2026-02-27,0.012338465282486128,0.011964841242715206,0.4670300497136517,0.23745770511567693
2026-03-06,-0.004208872471131835,-0.004554307100864108,0.4317932871653417,-0.1409894343779984
